id,title
622,Tierra baja
623,The Magic Bag
624,The Ugly Duckling
625,Villafranca: Fiestas del Drac y bailes típicos
626,Yale Laundry
627,'Ostler Joe
628,The Adventures of Dollie
629,After Many Years
630,Hamlet
631,Hamlet
632,Amor que mata
633,The Anarchist's Sweetheart
634,Antony and Cleopatra
636,As You Like It
637,The Assassination of the Duke de Guise
638,At the Crossroads of Life
639,At the French Ball
640,An Awful Moment
641,Balked at the Altar
642,The Bandit's Waterloo
643,Barbara Fritchie: The Story of a Patriotic American Woman
644,Behind the Scenes
645,Betrayed by a Handprint
646,Biblical Scenes
647,Bjørnejagten
648,The Black Viper
649,Bobby's Kodak
650,The Boston Tea Party
651,"The Boy Detective, or the Abductors Foiled"
653,A Calamitous Elopement
654,The Call of the Wild
655,Los calzoncillos de Tony
656,The Grateful Dog
657,Carreras de caballos de 1908
658,The Puppet's Nightmare
659,Caught by Wireless
660,The Christmas Burglars
661,Humanity Through the Ages
662,Classmates
663,The Clubman and the Tramp
664,Los competidores
665,Concealing a Burglar
666,Corrida de toros con Antonio Fuentes
667,Corrida de toros con Ricardo Torres 'Bombita'
668,The Count of Monte Cristo
669,Cupid's Pranks
670,El curioso impertinente
671,Desdemona
672,The Devil
673,La Dolores
674,Don Juan Tenorio
675,Don Quijote
676,Don Álvaro o la fuerza del sino
677,Ex-Convict No. 900
678,Excursión a Montserrat
679,The Fairylogue and Radio-Plays
680,Falsely Accused!
681,A Famous Escape
682,A Fantasy
683,The Fatal Hour
684,Father Gets in the Game
685,The Feud and the Turkey
686,Fiestas del carnaval de 1908 en Barcelona
687,"A Florida Feud: or, Love in the Everglades"
688,The Flower Girl of Paris
689,For Love of Gold
690,For a Wife's Honor
691,The French Maid
692,El fusilamiento de Dorrego
693,Gerona monumental
694,The Girl and the Outlaw
695,The Greaser's Gauntlet
696,El guardia burlado
697,The Guerrilla
698,The Heart of O Yama
699,The Helping Hand
700,Her First Adventure
701,His Day of Rest
703,Hulda's Lovers
704,The Humpty Dumpty Circus
705,Inauguración de la exposición hispano-francesa
706,"Ingomar, the Barbarian"
707,The Ingrate
708,The Invisible Fluid
709,Julius Caesar
711,The Kentuckian
712,King of the Cannibal Islands
713,The King's Messenger
714,Leah the Forsaken
715,The Life of an American Cowboy
716,Lonesome Junction
717,Macbeth
718,Making Moving Pictures
719,"Mallorca, isla dorada"
720,The Man and the Woman
721,The Man in the Box
722,The Red Barn Mystery
723,María Rosa
724,The Merchant of Venice
725,Mixed Babies
726,Monasterio de Poblet
727,Monday Morning in a Coney Island Police Court
728,Money Mad
729,Os Moços de Fretes Têm Sede
730,Mr. Jones at the Ball
731,Mrs. Jones Entertains
732,The Music Master
733,"Old Isaacs, the Pawnbroker"
734,Othello
736,The Outlaw
737,Over the Hill to the Poorhouse
738,The Paris Hat
739,El pastorcito de Torrente
740,The Pirate's Gold
741,The Planter's Wife
742,Poverty and Compassion
743,The Princess in the Vase
744,Professional Jealousy
745,"Raffles, an American Cracksman"
746,The Reckoning
747,The Reg Girl
748,The Red Man and the Child
749,Rescued from an Eagle's Nest
750,Richard III
751,The Roman
752,Romance of a Jewess
753,The Romance of an Egg
754,Romeo and Juliet
755,The Dream of an Opium Fiend
756,The Sculptor's Nightmare
757,She
758,Sherlock Holmes
759,Sherlock Holmes II: Raffles Escaped from Prison
760,Sherlock Holmes III: The Detective's Adventure in the Gas Cellar
761,"Simulacro de bomberos en la Plaza de Cataluña, de Barcelona"
762,A Smoked Husband
763,The Snowman
764,The Song of the Shirt
765,The Stage Rustler
766,The Stage-Struck Daughter
767,The Stolen Jewels
768,Svend Dyrings hus
769,Knight of Black Art
770,The Taming of the Shrew
771,The Tavern Keeper's Daughter
772,The Test of Friendship
773,Thompson's Night Out
774,To the Custody of the Father
775,Susceptible Youth
776,The Last Days of Pompeii
777,An Unexpected Santa Claus
778,The Valet's Wife
779,The Vaquero's Vow
780,"Hercules the Athlete; or, Love Behind the Scenes"
781,The Viking's Daughter: The Story of the Ancient Norsemen
782,"A Visit to the Seaside at Brighton Beach, England"
783,When Knighthood Was in Flower
784,When Knights Were Bold
785,Where the Breakers Roar
786,Wiegenlied
787,A Woman's Way
788,The Yellow Peril
789,The Zulu's Heart
790,The Battle in the Clouds
791,Amor heroico
792,And a Little Child Shall Lead Them
793,Andreas Hofer
794,The Apache Girl's Revenge
795,The Artist's Revenge
796,As It Is in Real Life
797,At the Altar
798,An Attempt to Smash a Bank
799,Aventuras de Pepín
800,The Awakening
801,A Baby's Shoe
802,The Bailiff and the Dressmakers
803,The Child Benefactor
804,El barranco del lobo
805,Baño imprevisto
806,The Best Man Wins
807,The Better Way
808,Betty's Choice
809,Bill Sharkey's Last Game
810,The Black Sheep
811,The Blind Man
812,El blocao Velarde
813,Bluebeard
814,La bocana de Mar Chica
815,The Brahma Diamond
816,The Broken Locket
817,A Message to Napoleon
818,The Burglar and the Child
819,A Burglar's Mistake
820,Campaña del Riff
821,The Cardinal's Conspiracy
822,Celos gitanos
823,A Change of Heart
824,A Child of the Forest
825,The Children's Friend
826,Choosing a Husband
827,"Comata, the Sioux"
828,Confidence
829,A Convict's Sacrifice
830,Corazón de madre
831,The Cord of Life
832,A Corner in Wheat
833,The Country Doctor
834,A Coward's Courage
835,The Cricket on the Hearth
836,Os Crimes de Diogo Alves
837,The Criminal Hypnotist
838,A Cultura do Cacau
839,The Curse of Money
840,The Curtain Pole
841,The Day After
842,De Garraf a Barcelona
843,The Death Disc: A Story of the Cromwellian Period
844,The Death of Ivan the Terrible
845,The Deception
846,Un día en Xochimilco
847,Don Juan heiratet
848,The Painting of a Miraculous Spider
849,Dos guapos frente a frente
850,Los dos hermanos
851,The Drive for a Life
852,A Drunkard's Reformation
853,The Eavesdropper
854,Edgar Allan Poe
855,Eloping with Auntie
856,Entrevista de los Presidentes Díaz-Taft
857,Eradicating Aunty
858,The Expiation
859,Fabricación del corcho en Sant Feliu de Guixols
860,The Faded Lilies
861,A Fair Exchange
862,Faldgruben
863,Farmer Giles' Visit to London
864,The Fascinating Mrs. Francis
865,A Father's Mistake
866,Fellow Clerks
867,Fiesta de toros
868,Fiestas de Santa Lucía - Belenes
869,Fiestas en La Garriga
870,A Fool's Revenge
871,Fools of Fate
872,The Foundling
873,Bakchisarayskiy fontan
874,The French Duel
875,The Friend of the Family
876,Fuss and Feathers
877,Getting Even
878,The Gibson Goddess
879,Gira política de Madero y Pino Suárez
880,The Girls and Daddy
881,Le glas du père Césaire
882,The Golden Louis
883,The Grey Lady
884,The Red Domino
885,Guzmán el Bueno
886,"Hamlet, Prince of Denmark"
887,Hansel and Gretel
888,The Heart of a Clown
889,The Heart of a Cowboy
890,The Heart of an Outlaw
891,Cycle Rider and the Witch
892,Her First Biscuits
893,Her Indian Hero
894,The Farmer's Grandson
895,The Hessian Renegades
896,The Hindoo Dagger
897,His Duty
898,His Lost Love
899,His Reformation
900,His Ward's Love
901,His Wife's Mother
902,His Wife's Visitor
903,The Honor of Thieves
904,The House of Cards
905,I Did It
906,The Idiot of the Mountains
907,In Little Italy
908,In Old Kentucky
909,In a Hempen Bag
910,In the Watches of the Night
911,In the Window Recess
912,The Indian Runner's Romance
913,The Indian Trailer
914,Industria del corcho
915,Jailbird in Borrowed Feathers
916,Je voudrais un enfant
917,Jealousy and the Man
918,"Jessie, the Stolen Child"
919,The Jilt
920,Jones and His New Neighbors
921,Jones and the Lady Book Agent
922,The Joneses Have Amateur Theatricals
923,El joyero
924,A Bad Case
925,Judgment
926,Justicia de Felipe II
927,Kinemacolor Puzzle
928,King Lear
929,Klebolin klebt alles
930,Der kleine Detektiv
931,Dødsspringet
932,A Woman of the People
933,Lady Helen's Escapade
934,Leather Stocking
935,The Light That Came
936,Lines of White on a Sullen Sea
938,The Little Darling
939,The Little Teacher
940,Lochinvar
941,Locura de amor
942,The Lonely Villa
943,Love Finds a Way
944,The Luck of the Cards
945,Lucky Jim
946,The Lure of the Gown
947,Lægens offer
948,La légende de l'arc-en-ciel
949,Det løbske gasrør
950,Macbeth
951,"Madam Sans Gene; or, The Duchess of Danzig"
952,Madame de Langeais
953,A Maid of the Mountains
954,Mamma
955,A Man with Three Wives
956,The Maniac Cook
957,Mariage forcé
958,The Medicine Bottle
959,Melilla y el Gurugu
960,The Mended Lute
961,The Message
962,The Mexican Sweethearts
963,A Mexican's Gratitude
964,A Midnight Adventure
965,Midnight Disturbance
966,A Midsummer Night's Dream
967,The Mills of the Gods
968,Mistaken Identity
969,Les Misérables
970,The Life of Moliere
971,The Mill
972,The Mountaineer's Honor
974,Mr. Jones Has a Card Party
975,Mr. Jones' Burglar
976,"Mrs. Jones' Lover; or, 'I Want My Hat'"
977,Mutterliebe
978,Napoleon og hans lille Trompetist
979,"Napoleon, the Man of Destiny"
980,A Narrow Escape from Lynching
981,The Necklace
982,The New Servant
983,A New Trick
984,Niños en la alameda
985,The Note in the Shoe
986,Nursing a Viper
987,How Brother Cook was Taught a Lesson
988,The Short-Sighted Governess
989,"Oh, Uncle!"
990,Oliver Twist
991,On the Little Big Horn or Custer's Last Stand
992,De onde Veje
993,One Busy Hour
994,One Good Turn Deserves Another
995,One Touch of Nature
996,Only a Tramp
997,The Open Gate
998,Othello
999,Paul Wang's Destiny
1000,The Peachbasket Hat
1001,"Pippa Passes; or, the Song of Conscience"
1002,The Politician's Love Story
1003,Por un ratón
1004,Portrait of Mireille
1005,Pranks
1006,Primera carrera internacional de automóviles 'Peña-Rhin'
1007,La primera y segunda casetas
1008,The Prince and the Pauper
1009,"Princess Nicotine; or, The Smoke Fairy"
1010,Protección de un convoy de víveres en el puente de camellos
1011,The Prussian Spy
1012,The Ranchman's Rival
1013,The Redman's View
1014,The Renunciation
1015,The Restoration
1016,Resurrection
1017,A Wedding During the French Revolution
1018,Richelieu; or: The Conspiracy
1019,The Road Agents
1020,The Road to the Heart
1021,Robbing the Widowed and Fatherless
1022,A Rose of the Tenderloin
1023,The Roue's Heart
1024,A Rude Hostess
1025,A Rural Elopement
1026,Ruy Blas
1027,The Sacrifice
1028,Salome Mad
1029,The Salvation Army Lass
1030,Saul and David
1031,Schneider's Anti-Noise Crusade
1032,The Sealed Room
